"","V1","V2","V3","V4","V5"
"1",0.26751065808087,0.168708238160999,0.265597576766119,0.468258669592329,0.636261127634521
"2",0.267510593673495,0.168708880878908,0.26559763617279,0.468259400452605,0.636261318451556
"3",0.267510583605433,0.168708868134136,0.265597668937094,0.468259419525434,0.636261124603907
"4",0.267510539749658,0.1687086513009,0.265597765991695,0.468258722877117,0.6362611841408
"5",0.267510908563659,0.168708948203403,0.265597594319524,0.468259883416417,0.636261213802625
"6",0.26751090828904,0.168708048971383,0.265598315037618,0.468258777365926,0.636261813202616
"7",0.26751083277594,0.168707880764454,0.265597880691099,0.468258296672307,0.636261170439626
"8",0.267510625209773,0.168708700345982,0.265597778852849,0.46825938457734,0.636261461087961
"9",0.267510824208206,0.168708060435934,0.26559826490132,0.468258877362695,0.636261817298961
"10",0.267510805913876,0.168708678345456,0.265597971802233,0.468259159912758,0.636261403823359
"11",0.267511031141576,0.168708068724947,0.265598133309341,0.468258718238456,0.636261575277799
"12",0.267510383683761,0.168709125464807,0.265597334721196,0.468259328492057,0.636261775789745
"13",0.267510506506171,0.168708831203344,0.265597582631555,0.468259432108761,0.636261055356582
"14",0.267510648938173,0.168708028728782,0.265597704317942,0.468258373624535,0.636261044036077
"15",0.267511250994657,0.168709180213758,0.265597674410253,0.468259983857638,0.636261173699915
"16",0.267510801874566,0.168707909031867,0.265597834447695,0.468258583967446,0.636261215122713
"17",0.267510526003553,0.168709026702293,0.265597453042828,0.468259333873946,0.63626110370323
"18",0.267510628622622,0.168708612650624,0.265597819324071,0.468258747823211,0.636261508691026
"19",0.267510553094915,0.16870888403531,0.265597706048972,0.468259359559406,0.63626109776161
"20",0.267510609804773,0.168708892450483,0.265597673474755,0.468259423690552,0.636261105728389
"21",0.267510767237323,0.168707921294937,0.265597898597406,0.468258328592522,0.63626108041524
"22",0.267510876770471,0.168708980940529,0.265597605214341,0.468259807561885,0.636261199700286
"23",0.267510408379132,0.168708786374421,0.265597862625908,0.468258998431435,0.636261170549511
"24",0.267510987189551,0.168709080730411,0.265597659535982,0.468259273371675,0.636261287589426
"25",0.267511219671629,0.16870909782667,0.265598058655811,0.468260170908128,0.636261166549296
"26",0.267510334860338,0.168708516912274,0.265598320757945,0.468258933781822,0.636261082986558
"27",0.267510669746282,0.168708721341149,0.265598295211603,0.468258980945583,0.636261444066821
"28",0.26751107588726,0.168707994787843,0.265598228602881,0.468258616921982,0.636261654644906
"29",0.267511156737003,0.168709140152029,0.265598051077405,0.468260174538505,0.63626113949828
"30",0.267510696302629,0.168708766688388,0.265597748757505,0.468259412528944,0.636261553217132
"31",0.267510614469032,0.168708708206267,0.265598436382213,0.468259050488232,0.636261259117452
