"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0.274507646647812,0.771264779775645,0.433066396935731,0.773113504442657,0.16774689043368,0.174021754025891,0.612611381731698,0.879511241278077,0.454408700348852,0.148952622811904,0.800167864035305,0.309981548025614,0.173961964010397,0.718185496367192,0.159054431669385,0.793384203532811,0.609701422685017,0.806067209415076,0.213367943320234,0.479516951983093,0.709330522492389,0.404021488795648,0.709417330122662,0.50609464836212,0.380849207557732
"2",0.27450842332414,0.771265629730057,0.433066144722944,0.773114984664323,0.167747410926645,0.174023712398682,0.612611462522235,0.879512381870291,0.45440761414829,0.148951868988119,0.800168593402614,0.309982452780056,0.17396056570568,0.71818877424758,0.159055009591222,0.793385232891893,0.609700147578133,0.806065850551499,0.213367896892126,0.47951586853528,0.709333424022839,0.404021723939488,0.709418640396463,0.506093260606844,0.380849581328204
"3",0.274506108956666,0.771266331264751,0.433065197461346,0.773112937209003,0.167748977776957,0.174022739727662,0.612609996508091,0.879508881363562,0.454408998732425,0.148952253763964,0.800168254380263,0.309985833714313,0.173961804286553,0.718188781171029,0.159053737355746,0.793385721920256,0.609702970161582,0.806065170466519,0.213367563735651,0.479517230367257,0.709329228537884,0.404023828569307,0.709414918176207,0.506094045184767,0.380849909544037
"4",0.274506686899811,0.771261221864434,0.433070418151668,0.773118808006267,0.167742656068083,0.174029874779049,0.61260647379413,0.879511342100169,0.454402071100912,0.148944801943986,0.800168848539748,0.309973464346203,0.173958349390771,0.718196190432766,0.159055474863027,0.793377399045827,0.609700626036092,0.806071834984967,0.213365810903375,0.479520163196547,0.709336047244292,0.404012240035763,0.709416154323331,0.5061076729334,0.380863153994805
"5",0.274506353811364,0.771267635433368,0.433068746153278,0.773114885441515,0.167745777007608,0.174028624696218,0.612609093474971,0.879510529130587,0.454408655943864,0.148948326075609,0.800167284490904,0.309986573859797,0.173955109067907,0.71819471429807,0.159053989460953,0.793376806384655,0.609702591660573,0.806077138519039,0.213366104442968,0.479513932712796,0.709337323104676,0.404011374494545,0.709416495946213,0.506098621626875,0.380856872458793
"6",0.274507373762663,0.771266539886606,0.433065641177209,0.773114591234722,0.167746452957183,0.174024846292755,0.612614820059237,0.879507569012434,0.45441435348927,0.148946944284099,0.800170103775776,0.309988285186401,0.17396261531927,0.718189362894068,0.159051039390557,0.793387598214345,0.609699968169285,0.806068501688668,0.213365484099304,0.4795154883394,0.709327501252145,0.404030281154328,0.709413062534396,0.506088623288339,0.38084803138211
"7",0.274504999642134,0.771267241204615,0.433071169931318,0.773115996841636,0.167751318704168,0.174025151739541,0.612606496478278,0.879508223828244,0.454399919240594,0.148952987848158,0.800163561177013,0.309984548160028,0.173958654202579,0.718187002061589,0.159055872142628,0.793380906409324,0.609705914343207,0.806071575439496,0.213365779946186,0.479512192513377,0.709332955068173,0.404017289138009,0.709415267034901,0.506097419124248,0.380850063590054
"8",0.274507985932739,0.771266929298105,0.433070607733093,0.773116694454222,0.167749671046856,0.174023355014582,0.612611564368945,0.879509736426058,0.454403046731747,0.148953088785345,0.800169343122007,0.309981785704673,0.173959451562986,0.718188421197588,0.159055149191995,0.793383637093262,0.609698393769772,0.806070267601196,0.213367427438192,0.479511789733851,0.709329869210583,0.404019042501467,0.709415963470763,0.50609561606711,0.38084959254888
"9",0.27450558481459,0.771264464569148,0.433075092602559,0.773116817129551,0.167749957406549,0.174024269028201,0.612608186016329,0.879508543511475,0.454402247051779,0.148952390078306,0.800164403117542,0.309985049140275,0.173958757737574,0.718186666561481,0.159057084800128,0.793381018530186,0.609702547844984,0.806071634505427,0.213366788279679,0.479513441161384,0.709332845887687,0.404015858524798,0.709416620753811,0.506095745878263,0.38085021167041
"10",0.274508185174613,0.771265350152513,0.433066411965609,0.773115114570814,0.167748712213963,0.174024266578327,0.612611610043711,0.879512638620989,0.454407545174685,0.14895245719419,0.80016870156847,0.309982072373397,0.173960283532769,0.718186645109172,0.159054737137187,0.793384445988578,0.609700262326628,0.806066519943384,0.213368441333743,0.479515388196377,0.709333600036994,0.404021099857989,0.709418388742797,0.506093700739583,0.380848547524543
