"","V1","V2","V3","V4","V5","V6","V7"
"1",0.0555911281338738,0.58134000768153,0.830377891728462,0.482356499347005,0.427198415409288,0.170859659520127,0.418821330113606
"2",0.0556689668052378,0.583188331323315,0.83056768144389,0.482394443623876,0.427380279092852,0.170948365906957,0.41798782721362
"3",0.055790030020033,0.583377814400611,0.8304304532817,0.482360812218794,0.427090274140773,0.170457368354027,0.418955683266254
"4",0.0557383732722198,0.58324040090679,0.830400666438949,0.482252554606928,0.427398621894513,0.171137824664925,0.418000614278113
"5",0.0557097636773132,0.583089444739701,0.830386442695813,0.482174326820601,0.427356245386159,0.171089122036195,0.417946872122112
"6",0.0558943416404503,0.582417388520561,0.830476563434632,0.482708267551101,0.4259770144936,0.170839327791097,0.419575310345092
"7",0.0557002766608399,0.582243608682566,0.830319673214954,0.482870644665994,0.425835285261604,0.170712616780935,0.419699177437374
"8",0.0556638462139322,0.583347925116884,0.830416254650483,0.482271711419332,0.427429585197056,0.171152845238184,0.418046752173877
"9",0.0559077105152705,0.581605674521492,0.830396289703209,0.482211375633592,0.424316574445603,0.170464516515998,0.418205306755325
"10",0.0560141656066099,0.581196912936818,0.830447754499933,0.482665190653912,0.426388690046215,0.170526011903487,0.419131763844187
"11",0.0556063535430058,0.582312995309949,0.830365763637279,0.482227070370643,0.42772810586907,0.170863257919859,0.41868140058322
"12",0.0560071326313221,0.581943465138931,0.830509798840944,0.482422762015038,0.427083487843336,0.170826209107505,0.41839165556617
"13",0.055828337677175,0.582502674708942,0.830489779586746,0.483128596718175,0.425548116102981,0.171012085659492,0.419046341811716
"14",0.0561271045858034,0.58229129709738,0.830413423289483,0.482815627847296,0.426240188517077,0.170681689386791,0.419692636599348
"15",0.0557570693185741,0.582945219663914,0.830451499554415,0.482275781361024,0.427304848217335,0.170742075918461,0.418805622356673
"16",0.0559803236397253,0.582748353729989,0.830561666757444,0.482367993749825,0.42755118516377,0.170885969359708,0.418010151105086
"17",0.0557600167993019,0.58316517352006,0.830354699718249,0.482516709979723,0.426955421847395,0.170589333984912,0.419079045826115
"18",0.0561786126852225,0.581482690088855,0.830697161716136,0.482068754432716,0.427713446295508,0.170711334282458,0.418080706427821
"19",0.0556468226955343,0.58184692406363,0.830436507173762,0.482110867338232,0.424012665114693,0.17050736899504,0.418186632366384
"20",0.055700616516455,0.583168701766948,0.830356970197736,0.482321375990402,0.427319610774559,0.171024817224461,0.417932599252048
"21",0.0559370055752048,0.581848020895248,0.830580827727749,0.482453171286646,0.427450504755567,0.170840004463936,0.418234874130682
"22",0.056009125559314,0.581801257709868,0.830384699579351,0.482565381380262,0.426437558548432,0.170464192511153,0.419481119123204
